"Id";"MinYearsOld";"MaxYearsOld";"Gender";"PAL";"Kcal"
1;15;19;"male";1.4;2600
2;19;25;"male";1.4;2400
3;25;51;"male";1.4;2300
4;51;65;"male";1.4;2200
5;65;200;"male";1.4;2100
6;15;19;"female";1.4;2000
7;19;25;"female";1.4;1900
8;25;51;"female";1.4;1800
9;51;65;"female";1.4;1700
10;65;200;"female";1.4;1700
11;15;19;"male";1.6;3000
12;19;25;"male";1.6;2800
13;25;51;"male";1.6;2700
14;51;65;"male";1.6;2500
15;65;200;"male";1.6;2500
16;15;19;"female";1.6;2300
17;19;25;"female";1.6;2200
18;25;51;"female";1.6;2100
19;51;65;"female";1.6;2000
20;65;200;"female";1.6;1900
21;15;19;"male";1.8;3400
22;19;25;"male";1.8;3100
23;25;51;"male";1.8;3000
24;51;65;"male";1.8;2800
25;65;200;"male";1.8;2800
26;15;19;"female";1.8;2600
27;19;25;"female";1.8;2500
28;25;51;"female";1.8;2400
29;51;65;"female";1.8;2200
30;65;200;"female";1.8;2100

{
  "userName": "admin",
  "email": "user@admin.com",
  "password": "Testing123!"
}
